simulation_id,network_size,seed_size,periods,simulation_period,state_count_stop,state_count_waiting,state_count_read,state_count_shared
19,10000,100,25,19,100,0,5095,4805
19,10000,100,25,20,100,0,4901,4999
19,10000,100,25,21,100,0,4741,5159
19,10000,100,25,22,100,0,4575,5325
19,10000,100,25,23,100,0,4413,5487
19,10000,100,25,24,100,0,4255,5645
19,10000,100,25,25,100,0,4111,5789
19,10000,100,25,25,100,0,4111,5789
20,10000,100,25,0,100,9900,0,0
20,10000,100,25,1,100,4972,4928,0
20,10000,100,25,2,100,2249,7452,199
20,10000,100,25,3,100,968,8432,500
20,10000,100,25,4,100,440,8627,833
20,10000,100,25,5,100,194,8501,1205
20,10000,100,25,6,100,82,8300,1518
20,10000,100,25,7,100,37,7991,1872
20,10000,100,25,8,100,16,7699,2185
20,10000,100,25,9,100,6,7428,2466
20,10000,100,25,10,100,3,7164,2733
20,10000,100,25,11,100,1,6914,2985
20,10000,100,25,12,100,0,6645,3255
20,10000,100,25,13,100,0,6387,3513
20,10000,100,25,14,100,0,6153,3747
20,10000,100,25,15,100,0,5943,3957
20,10000,100,25,16,100,0,5759,4141
20,10000,100,25,17,100,0,5578,4322
20,10000,100,25,18,100,0,5391,4509
20,10000,100,25,19,100,0,5205,4695
20,10000,100,25,20,100,0,5026,4874
20,10000,100,25,21,100,0,4856,5044
20,10000,100,25,22,100,0,4679,5221
20,10000,100,25,23,100,0,4512,5388
20,10000,100,25,24,100,0,4362,5538
20,10000,100,25,25,100,0,4218,5682
20,10000,100,25,25,100,0,4218,5682
21,10000,100,25,0,100,9900,0,0
21,10000,100,25,1,100,5014,4886,0
21,10000,100,25,2,100,2326,7403,171
21,10000,100,25,3,100,1036,8418,446
21,10000,100,25,4,100,435,8648,817
21,10000,100,25,5,100,198,8529,1173
21,10000,100,25,6,100,83,8337,1480
21,10000,100,25,7,100,42,7992,1866
21,10000,100,25,8,100,17,7681,2202
21,10000,100,25,9,100,6,7430,2464
21,10000,100,25,10,100,3,7155,2742
21,10000,100,25,11,100,1,6845,3054
21,10000,100,25,12,100,1,6556,3343
21,10000,100,25,13,100,1,6305,3594
21,10000,100,25,14,100,0,6035,3865
21,10000,100,25,15,100,0,5823,4077
21,10000,100,25,16,100,0,5591,4309
21,10000,100,25,17,100,0,5401,4499
21,10000,100,25,18,100,0,5220,4680
21,10000,100,25,19,100,0,5051,4849
21,10000,100,25,20,100,0,4837,5063
21,10000,100,25,21,100,0,4648,5252
21,10000,100,25,22,100,0,4465,5435
21,10000,100,25,23,100,0,4312,5588
21,10000,100,25,24,100,0,4162,5738
21,10000,100,25,25,100,0,4022,5878
21,10000,100,25,25,100,0,4022,5878
22,10000,100,25,0,100,9900,0,0
22,10000,100,25,1,100,4950,4950,0
22,10000,100,25,2,100,2268,7437,195
22,10000,100,25,3,100,976,8387,537
22,10000,100,25,4,100,424,8578,898
22,10000,100,25,5,100,182,8404,1314
22,10000,100,25,6,100,69,8195,1636
22,10000,100,25,7,100,26,7926,1948
22,10000,100,25,8,100,13,7625,2262
22,10000,100,25,9,100,8,7315,2577
22,10000,100,25,10,100,6,7049,2845
22,10000,100,25,11,100,3,6752,3145
22,10000,100,25,12,100,3,6469,3428
22,10000,100,25,13,100,0,6175,3725
22,10000,100,25,14,100,0,5944,3956
22,10000,100,25,15,100,0,5710,4190
22,10000,100,25,16,100,0,5501,4399
22,10000,100,25,17,100,0,5281,4619
22,10000,100,25,18,100,0,5124,4776
22,10000,100,25,19,100,0,4938,4962
22,10000,100,25,20,100,0,4772,5128
22,10000,100,25,21,100,0,4612,5288
22,10000,100,25,22,100,0,4476,5424
22,10000,100,25,23,100,0,4290,5610
22,10000,100,25,24,100,0,4101,5799
22,10000,100,25,25,100,0,3967,5933
22,10000,100,25,25,100,0,3967,5933
23,10000,100,25,0,100,9900,0,0
23,10000,100,25,1,100,4925,4975,0
23,10000,100,25,2,100,2208,7481,211
23,10000,100,25,3,100,934,8437,529
23,10000,100,25,4,100,387,8669,844
23,10000,100,25,5,100,178,8532,1190
23,10000,100,25,6,100,74,8311,1515
23,10000,100,25,7,100,36,8023,1841
23,10000,100,25,8,100,19,7719,2162
23,10000,100,25,9,100,8,7443,2449
23,10000,100,25,10,100,4,7165,2731
23,10000,100,25,11,100,2,6900,2998
23,10000,100,25,12,100,0,6655,3245
23,10000,100,25,13,100,0,6386,3514
23,10000,100,25,14,100,0,6167,3733
23,10000,100,25,15,100,0,5942,3958
23,10000,100,25,16,100,0,5723,4177
23,10000,100,25,17,100,0,5509,4391
23,10000,100,25,18,100,0,5312,4588
23,10000,100,25,19,100,0,5159,4741
23,10000,100,25,20,100,0,4974,4926
23,10000,100,25,21,100,0,4822,5078
23,10000,100,25,22,100,0,4645,5255
23,10000,100,25,23,100,0,4467,5433
23,10000,100,25,24,100,0,4314,5586
23,10000,100,25,25,100,0,4169,5731
23,10000,100,25,25,100,0,4169,5731
24,10000,100,25,0,100,9900,0,0
24,10000,100,25,1,100,4888,5012,0
24,10000,100,25,2,100,2197,7525,178
24,10000,100,25,3,100,920,8495,485
24,10000,100,25,4,100,366,8703,831
24,10000,100,25,5,100,141,8607,1152
24,10000,100,25,6,100,54,8350,1496
24,10000,100,25,7,100,26,8053,1821
